                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.822,                 2.8599,                 1.8035,                0.49874,                0.37363,                0.35106,                0.14472,                 2.1033,                  2.426,                 2.2053,             0.00066129,             0.00066129,             0.00066129
                      2,                 1.9742,                 2.1568,                 1.9318,                0.23971,                0.27473,                0.16732,                0.06566,                 2.2526,                 8.5434,                 2.4848,              0.0013279,              0.0013279,              0.0013279
                      3,                 1.9656,                 2.1962,                 1.9473,                0.27101,                0.38462,                0.22001,                 0.0904,                 2.2018,                 2.7083,                 2.2556,              0.0019944,              0.0019944,              0.0019944
                      4,                 1.9325,                 2.1046,                 1.9011,                0.33583,                 0.2967,                0.25659,                0.09621,                 2.1364,                 2.3363,                 2.1622,              0.0019995,              0.0019995,              0.0019995
                      5,                 1.8687,                 1.9636,                 1.8427,                0.41455,                0.45055,                0.39676,                 0.1523,                  1.989,                 3.5193,                 2.0507,              0.0019991,              0.0019991,              0.0019991
                      6,                  1.819,                  1.898,                 1.8221,                0.41789,                0.41758,                0.32239,                0.14372,                 2.0141,                 2.2771,                  2.047,              0.0019986,              0.0019986,              0.0019986
                      7,                 1.7587,                  1.792,                 1.7681,                 0.4437,                0.42308,                0.42365,                0.19353,                 1.9761,                 2.0481,                  2.028,               0.001998,               0.001998,               0.001998
                      8,                 1.7726,                 1.8105,                 1.7924,                0.57189,                0.52198,                0.47738,                0.21037,                 1.9087,                 1.8291,                 1.9768,              0.0019973,              0.0019973,              0.0019973
                      9,                  1.721,                 1.6782,                 1.7543,                0.40648,                0.37363,                0.33167,                0.14337,                 2.0369,                 2.2448,                 2.0892,              0.0019965,              0.0019965,              0.0019965
                     10,                 1.6692,                 1.5913,                 1.7096,                0.54982,                 0.3956,                0.44066,                0.20324,                 1.9296,                 1.9306,                 1.9776,              0.0019956,              0.0019956,              0.0019956
                     11,                 1.6751,                 1.5942,                 1.7059,                 0.6355,                0.48352,                0.53877,                0.23687,                 1.8857,                 1.6594,                 1.9379,              0.0019946,              0.0019946,              0.0019946
                     12,                  1.648,                 1.5528,                 1.6806,                 0.6195,                 0.5457,                0.57889,                 0.2675,                 1.8528,                 1.9458,                 1.9298,              0.0019934,              0.0019934,              0.0019934
                     13,                 1.6329,                 1.4656,                 1.6834,                0.58299,                0.48901,                  0.507,                0.23343,                 1.8629,                 1.6973,                 1.9614,              0.0019922,              0.0019922,              0.0019922
                     14,                 1.5844,                 1.4184,                 1.6428,                0.58538,                0.56044,                0.57275,                0.26537,                 1.9461,                 1.6675,                 2.0469,              0.0019908,              0.0019908,              0.0019908
                     15,                 1.5832,                 1.4002,                 1.6447,                0.59352,                0.64986,                0.64985,                0.30207,                 1.9033,                 1.4281,                 1.9882,              0.0019894,              0.0019894,              0.0019894
                     16,                 1.6019,                 1.3688,                 1.6295,                0.58432,                0.56044,                0.55489,                0.24136,                 2.0146,                 1.6938,                 2.0124,              0.0019878,              0.0019878,              0.0019878
                     17,                  1.564,                 1.3406,                 1.6094,                0.55478,                0.61538,                0.60406,                0.28911,                 1.8811,                 1.4988,                 1.8987,              0.0019861,              0.0019861,              0.0019861
                     18,                 1.5253,                 1.3176,                 1.5783,                 0.5894,                0.57143,                0.59746,                0.29382,                 1.9163,                 1.5298,                 2.0008,              0.0019844,              0.0019844,              0.0019844
                     19,                  1.525,                 1.2893,                 1.5877,                0.65104,                0.54329,                0.57575,                0.25438,                 1.8938,                 1.6988,                 2.0343,              0.0019825,              0.0019825,              0.0019825
                     20,                 1.4901,                 1.2235,                 1.5524,                0.70152,                0.57692,                0.65179,                0.33134,                 1.8031,                 1.3618,                 1.8599,              0.0019805,              0.0019805,              0.0019805
                     21,                 1.4437,                 1.2009,                 1.5342,                  0.632,                0.53846,                0.60367,                0.28863,                 1.8332,                 1.5359,                 1.9473,              0.0019784,              0.0019784,              0.0019784
                     22,                 1.4506,                 1.1715,                 1.5413,                0.66379,                0.58242,                0.63217,                 0.3143,                  1.833,                   1.43,                 1.9035,              0.0019762,              0.0019762,              0.0019762
